[2023-12-22 09:47:19] [INFO]    [OmnipathR] Welcome to OmnipathR!
[2023-12-22 09:47:20] [TRACE]   [OmnipathR] Reading JSON from `C:\Users\piotr\AppData\Local\cache\OmnipathR/cache.json` (encoding: UTF-8).
[2023-12-22 09:47:20] [TRACE]   [OmnipathR] JSON validation successful: TRUE
[2023-12-22 09:47:20] [INFO]    [OmnipathR] Initialized cache: `C:\Users\piotr\AppData\Local\cache\OmnipathR`.
[2023-12-22 09:47:20] [TRACE]   [OmnipathR] Reading JSON from `C:/Users/piotr/Documents/R/win-library/4.0/OmnipathR/db/db_def.json` (encoding: UTF-8).
[2023-12-22 09:47:20] [TRACE]   [OmnipathR] JSON validation successful: TRUE
[2023-12-22 09:47:20] [TRACE]   [OmnipathR] Reading JSON from `C:/Users/piotr/Documents/R/win-library/4.0/OmnipathR/internal/magic_bytes.json` (encoding: UTF-8).
[2023-12-22 09:47:20] [TRACE]   [OmnipathR] JSON validation successful: TRUE
[2023-12-22 09:47:21] [TRACE]   [OmnipathR] Reading JSON from `C:/Users/piotr/Documents/R/win-library/4.0/OmnipathR/internal/urls.json` (encoding: UTF-8).
[2023-12-22 09:47:21] [TRACE]   [OmnipathR] JSON validation successful: TRUE
[2023-12-22 09:47:21] [TRACE]   [OmnipathR] Reading JSON from `C:/Users/piotr/Documents/R/win-library/4.0/OmnipathR/internal/id_types.json` (encoding: UTF-8).
[2023-12-22 09:47:21] [TRACE]   [OmnipathR] JSON validation successful: TRUE
[2023-12-22 09:47:22] [TRACE]   [OmnipathR] Reading JSON from `https://omnipathdb.org/resources` (encoding: UTF-8).
[2023-12-22 09:47:22] [TRACE]   [OmnipathR] JSON validation successful: TRUE
[2023-12-22 09:47:22] [INFO]    [OmnipathR] Loading database `Ensembl and OMA organism names`.
[2023-12-22 09:47:22] [INFO]    [OmnipathR] Looking up in cache `https://www.ensembl.org/info/about/species.html`: key=7332486db7400730697234bad76ca0c8e4d00799, latest version=1.
[2023-12-22 09:47:22] [TRACE]   [OmnipathR] Cache file path: C:\Users\piotr\AppData\Local\cache\OmnipathR/7332486db7400730697234bad76ca0c8e4d00799-1.html
[2023-12-22 09:47:23] [TRACE]   [OmnipathR] Looking up in cache: `https://omabrowser.org/All/oma-species.txt`.
[2023-12-22 09:47:23] [TRACE]   [OmnipathR] Loaded data from RDS `C:\Users\piotr\AppData\Local\cache\OmnipathR/30e690cbb55dfc63b5903ab337f34ffc2f4be397-1.rds`.
